t,gt_x,gt_y,gt_theta,gt_psi1,odom_x,odom_y,odom_theta,odom_psi1,v_cmd,w_cmd
4.100000000000001421e+00,2.939759771478001049e+00,1.308000625087766489e+00,6.958341976140123286e-01,4.962816370062794746e-01,2.943637297989890378e+00,1.297038500444009257e+00,6.958341976140128837e-01,5.020845327588687734e-01,4.493731089684132041e-01,3.180981378778480195e-01
4.200000000000001066e+00,2.974610894505737235e+00,1.337807355159448930e+00,7.218452336134482117e-01,4.997841797670882769e-01,2.978835894773951498e+00,1.326436087223801241e+00,7.218452336134483227e-01,5.054127272010281446e-01,4.586021504574860908e-01,2.601103599943546119e-01
4.300000000000000711e+00,3.009299809982598273e+00,1.368940221479394648e+00,7.431340866576072735e-01,4.981463601273977693e-01,3.013822120319975095e+00,1.357235786561878710e+00,7.431340866576078286e-01,5.035073792045037244e-01,4.661177380526506653e-01,2.128885304415954749e-01
4.400000000000000355e+00,3.043821386974085996e+00,1.401163759050571000e+00,7.605731868588314626e-01,4.925047681912690378e-01,3.048595945232737581e+00,1.389187824159604512e+00,7.605731868588321287e-01,4.975283495656653843e-01,4.722448099990028680e-01,1.743910020122429738e-01
4.500000000000000000e+00,3.078182297405280821e+00,1.434283485055015017e+00,7.748706456821439215e-01,4.837815214267148778e-01,3.083169522114324046e+00,1.422086070442690753e+00,7.748706456821443656e-01,4.884170202734430255e-01,4.772448875461701712e-01,1.429745882331228124e-01
4.599999999999999645e+00,3.112395362457043291e+00,1.468139293367499931e+00,7.866019927879472906e-01,4.727236309575304496e-01,3.117561033243863911e+00,1.455760984600848129e+00,7.866019927879478457e-01,4.769363102037426638e-01,4.813289811898457393e-01,1.173134710580347878e-01
4.699999999999999289e+00,3.146476063486048247e+00,1.502599642618947406e+00,7.962355581372080326e-01,4.599351310588523090e-01,3.151790933815633355e+00,1.490073398465088017e+00,7.962355581372089208e-01,4.637033461348930574e-01,4.846677045506629367e-01,9.633565349261119515e-02
4.799999999999998934e+00,3.180440458919352231e+00,1.537556585791635566e+00,8.041528409861318227e-01,4.459032934386231717e-01,3.185879745370141514e+00,1.524909202531130381e+00,8.041528409861330440e-01,4.492161202217002658e-01,4.873992529873704127e-01,7.917282848924123151e-02
4.899999999999998579e+00,3.214304001028972735e+00,1.572921591599137470e+00,8.106649021761900276e-01,4.310200261849718162e-01,3.219846835936504448e+00,1.560174883667438728e+00,8.106649021761909157e-01,4.338752526342756211e-01,4.896357327188539665e-01,6.512061190057895355e-02
4.999999999999998224e+00,3.248080918764530090e+00,1.608622068674369521e+00,8.160255873116037950e-01,4.155993568331961541e-01,3.253709816009415334e+00,1.595793818830341770e+00,8.160255873116049052e-01,4.180017769212557854e-01,4.914682046233960766e-01,5.360685135414033908e-02
5.099999999999997868e+00,3.281783948751259228e+00,1.644598493706045161e+00,8.204422147361953854e-01,3.998917291652439587e-01,3.287484309070146882e+00,1.631703217568602149e+00,8.204422147361966067e-01,4.018516920457114172e-01,4.929707191358099760e-01,4.416627424591746537e-02
5.199999999999997513e+00,3.315424273773287744e+00,1.680802048656065306e+00,8.240842289519054731e-01,3.840957039520886962e-01,3.321183941563018216e+00,1.667851610356433145e+00,8.240842289519064723e-01,3.856278816801340659e-01,4.942035543475882808e-01,3.642014215709820507e-02
